date,round_1,round_2,round_3
2018-12-01,108,147,170
2018-12-02,100,144,167
2018-12-03,116,153,164
2018-12-04,110,169,192
2018-12-05,119,165,176
2018-12-06,112,151,176
2018-12-07,107,158,183
2018-12-08,114,156,186
2018-12-09,113,152,181
2018-12-10,104,151,172
2018-12-11,109,172,193
2018-12-12,121,165,190
2018-12-13,121,161,170
2018-12-14,120,167,183
2018-12-15,115,159,178
2018-12-16,120,170,178
2018-12-17,134,167,177
2018-12-18,122,171,186
2018-12-19,112,154,183
2018-12-20,118,162,190
2018-12-21,127,151,169
2018-12-22,111,151,166
2018-12-23,128,169,188
2018-12-24,115,170,203
2018-12-25,111,154,175
2018-12-26,117,163,189
2018-12-27,112,172,191
2018-12-28,116,171,189
2018-12-29,111,161,204
2018-12-30,117,165,185
2018-12-31,111,156,195
2019-01-01,107,163,182
2019-01-02,116,161,195
2019-01-03,101,155,180
2019-01-04,126,160,183
2019-01-05,126,160,183
2019-01-06,84,142,167
2019-01-07,106,148,187
2019-01-08,94,162,178
2019-01-09,101,158,185
2019-01-10,113,151,176
2019-01-11,107,166,184
2019-01-12,119,156,172
2019-01-13,115,159,169
2019-01-14,100,150,167
2019-01-15,117,168,178
2019-01-16,116,161,180
2019-01-17,99,152,174
2019-01-18,124,163,187
2019-01-19,71,103,122
2019-01-20,118,165,188
2019-01-21,116,164,183
2019-01-22,118,169,194
2019-01-23,123,172,185
2019-01-24,116,171,175
2019-01-25,98,140,159
2019-01-26,107,150,172
2019-01-26,107,150,172
2019-01-27,0,0,0
2019-01-28,104,152,169
2019-01-29,121,169,182
2019-01-30,122,172,188
2019-01-31,104,141,182
2019-02-01,116,151,165
2019-02-02,107,147,171
2019-02-03,114,168,173
2019-02-04,111,163,190
2019-02-05,115,160,181
2019-02-06,94,136,165
2019-02-07,125,170,194
2019-02-08,103,143,157
2019-02-09,73,109,128
2019-02-10,107,154,183
2019-02-11,106,165,186
2019-02-12,111,166,183
2019-02-13,104,150,166
2019-02-14,112,152,181
2019-02-15,99,152,182
2019-02-16,95,151,182
2019-02-17,117,168,178
2019-02-18,77,115,141
2019-02-19,95,139,174
2019-02-20,65,90,125
2019-02-21,70,95,135
2019-02-22,104,150,181
2019-02-23,60,65,70
2019-02-24,96,146,183
2019-02-25,102,160,189
2019-02-26,100,156,184
2019-02-27,60,70,80
2019-02-28,60,70,80
2019-03-01,109,169,198
2019-03-02,103,167,183
2019-03-03,96,153,190
2019-03-04,111,163,184
2019-03-05,111,165,177
2019-03-06,113,166,193
2019-03-07,111,162,193
2019-03-08,110,164,185
2019-03-09,127,177,195
2019-03-10,96,144,174
2019-03-11,114,172,206
2019-03-12,110,171,198
2019-03-13,120,173,202
2019-03-14,105,137,168
2019-03-15,102,157,184
2019-03-16,119,167,204
2019-03-17,106,149,178
2019-03-18,119,161,188
2019-03-19,120,163,194
2019-03-20,116,166,191
2019-03-21,123,175,198
2019-03-22,113,166,200
2019-03-23,101,148,175
2019-03-24,95,168,179
2019-03-25,109,144,186
2019-03-26,114,161,189
2019-03-27,60,70,80
2019-03-28,75,112,137
2019-03-29,105,160,180
2019-03-30,72,96,122
2019-03-31,103,145,187
2019-04-01,88,126,143
2019-04-02,60,111,132
2019-04-03,101,154,174
2019-04-04,110,155,191
2019-04-05,107,155,175
2019-04-06,88,120,134
2019-04-07,60,93,117
2019-04-08,60,90,120
2019-04-09,60,93,120
2019-04-10,60,90,120
2019-04-11,92,127,164
2019-04-12,60,90,120
2019-04-13,60,90,140
2019-04-14,86,125,145
2019-04-15,112,162,187
2019-04-16,74,111,147
2019-04-17,114,162,201
2019-04-18,113,163,197
2019-04-19,103,152,185
2019-04-20,101,147,170
2019-04-21,117,167,195
2019-04-22,101,150,177
2019-04-23,103,145,179
2019-04-24,110,163,190
2019-04-25,60,70,90
2019-04-26,60,90,120
2019-04-27,109,158,164
2019-04-28,97,147,175
2019-04-29,60,90,120
2019-04-30,60,90,120
2019-05-01,110,163,184
2019-05-02,60,90,120
2019-05-03,60,90,120
2019-05-04,60,90,120
2019-05-05,100,151,182
2019-05-06,76,169,142
2019-05-07,60,90,165
